City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,alofi,76,NU,1552377600,94,-19.06,-169.92,77.0,4.7
1,rikitea,64,PF,1552382168,100,-23.12,-134.97,78.39,19.48
2,ushuaia,40,AR,1552377600,70,-54.81,-68.31,42.8,17.22
3,mahibadhoo,0,MV,1552382168,99,3.78,72.97,84.29,16.46
4,torbay,90,CA,1552382165,100,47.66,-52.73,37.0,20.8
5,pevek,24,RU,1552382168,100,69.7,170.27,-23.49,4.61
6,chokurdakh,0,RU,1552382168,66,70.62,147.9,-14.72,9.98
7,anito,0,PH,1552382169,98,12.45,125.29,80.33,8.19
8,hasaki,20,JP,1552382022,58,35.73,140.83,57.2,8.05
9,butaritari,100,KI,1552382169,100,3.07,172.79,83.16,14.79
10,thamaga,20,BW,1552381200,42,-24.68,25.54,80.6,13.87
11,kodiak,90,US,1552382116,74,39.95,-94.76,41.0,6.73
12,cape town,75,ZA,1552381864,82,-33.93,18.42,71.01,9.17
13,yellowknife,90,CA,1552382057,92,62.45,-114.38,19.0,2.24
14,hermanus,68,ZA,1552382165,82,-34.42,19.24,69.01,4.0
15,new norfolk,75,AU,1552382133,71,-42.78,147.06,52.0,11.41
16,cabo san lucas,48,MX,1552381825,55,22.89,-109.91,71.01,5.99
17,la ciotat,0,FR,1552382139,49,43.17,5.6,54.0,3.36
18,bambous virieux,75,MU,1552382046,66,-20.34,57.76,87.01,5.82
19,bluff,88,AU,1552382171,77,-23.58,149.07,74.88,2.37
20,victoria,75,BN,1552379400,70,5.28,115.24,86.0,6.93
21,kaitangata,20,NZ,1552382055,84,-46.28,169.85,59.0,3.0
22,thibodaux,90,US,1552382171,82,29.8,-90.82,64.4,4.7
23,albany,90,US,1552382047,59,42.65,-73.75,33.8,12.75
24,saint-philippe,90,CA,1552381941,92,45.36,-73.48,26.6,3.36
25,labytnangi,88,RU,1552382172,93,66.66,66.39,13.28,10.65
26,atuona,32,PF,1552382172,99,-9.8,-139.03,82.53,15.79
27,punta arenas,40,CL,1552381988,75,-53.16,-70.91,42.8,17.22
28,butia,24,BR,1552378877,83,-21.88,-47.57,68.0,1.01
29,umm kaddadah,0,SD,1552382173,19,13.6,26.69,81.41,11.88
30,salym,44,RU,1552382173,85,60.06,71.48,38.52,9.53
31,horodyshche,0,UA,1552379400,44,50.76,29.29,39.2,8.95
32,baturaja,44,ID,1552382174,64,-4.12,104.17,88.92,10.54
33,ballina,75,IE,1552381984,86,54.11,-9.15,46.0,10.29
34,tupiza,8,BO,1552382174,75,-21.44,-65.72,32.76,1.81
35,baley,0,RU,1552382174,34,51.58,116.65,21.38,4.83
36,bredasdorp,92,ZA,1552382128,88,-34.53,20.04,69.01,2.24
37,lenger,0,KZ,1552379400,27,42.18,69.89,64.4,8.95
38,oparino,80,RU,1552382175,81,59.85,48.28,35.78,4.72
39,coquimbo,20,CL,1552377600,87,-29.95,-71.34,57.2,3.38
40,gopalpur,0,IN,1552382176,36,25.6,86.94,90.72,17.25
